time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1.3200000000000007,0.027492836997,0.143118966147,11.7294466166,0.0540184260458,0.0179974288163,0.0,0.0117833349274,0.365754358028,2.5109056039,0.0143024639186,0.0521821450928,0.0,462.1634254707548,460.8489331372699,461.61410538555435,460.74614197055723
1.3800000000000008,0.0278762794711,0.166004849038,11.8798295326,0.0548541256945,0.0209114683825,0.0,0.000736921967084,0.39717887232,2.5018651438,0.0131693833852,0.0401299822212,0.0,407.7779046045694,406.7015328560682,408.0566608213077,407.95540628567073
1.4400000000000008,0.0274541926938,0.191031103806,12.0340511578,0.0553261189268,0.0237448910695,0.0,-0.0150846074507,0.437079778161,2.63853367599,-0.00570967836226,0.0585727817199,0.0,454.0354217887794,455.5138670936214,455.52067332474587,454.00840897062443
1.5000000000000009,0.0259850876323,0.218526684292,12.1977432455,0.0548736640187,0.0279091384945,0.0,-0.0343186114557,0.479366238203,2.81743009525,-0.0114810726122,0.0851649793864,0.0,467.23024128720397,469.3020388098085,468.38336777337827,467.9344275652569
1.560000000000001,0.0233620868321,0.248350478553,12.3685726338,0.0548503614954,0.0342342043411,0.0,-0.0536755455747,0.514718208947,2.87671444716,0.0156594734122,0.129511335163,0.0,430.23572369629295,433.98322502935434,430.82494934690493,433.1136689534932
1.620000000000001,0.0192131622745,0.280659427808,12.5494943465,0.0560691132786,0.0418593004743,0.0,-0.0855837073205,0.562340055635,3.15323281341,0.0282888278033,0.121733338805,0.0,498.9709839664011,498.41562489600034,496.26284775751253,497.1889284698403
1.680000000000001,0.0131071237508,0.315659321337,12.7434530416,0.0578295375629,0.0489430128495,0.0,-0.118729236156,0.604482172614,3.31155293885,0.0313643941907,0.109474382333,0.0,464.97073064566433,464.0211191601033,465.27229506646796,465.5132410946738
1.740000000000001,0.00498500010143,0.353077586387,12.9443420518,0.0597678700314,0.055426826163,0.0,-0.152637279481,0.642960747771,3.38447695677,0.0341240128703,0.105083807534,0.0,440.1253320329187,439.7721835523102,439.1055066281497,439.3347856453281
1.8000000000000012,-0.00535738764654,0.392903254337,13.1506123042,0.0615834504582,0.0619399796167,0.0,-0.192751247054,0.684734089574,3.49081201877,0.0211241897677,0.11471195277,0.0,451.37343383519425,452.1599176931701,450.1136270344689,449.0605864078721
1.8600000000000012,-0.0181537059071,0.435178834672,13.361802462,0.0626195812698,0.0695619554704,0.0,-0.234482830062,0.724542512465,3.54861263844,0.0081575460218,0.144339712435,0.0,435.0508622166329,437.53913278619405,436.58215153557154,435.49880233060725
1.9200000000000013,-0.0337195004697,0.479956919421,13.5780196382,0.0630616952274,0.0779653592835,0.0,-0.285236370985,0.768074354337,3.65819365805,0.00574193278107,0.129721103861,0.0,453.7723329633547,452.61492941873547,452.98953510201187,452.79512163729066
1.9800000000000013,-0.0525850817048,0.527417877983,13.8018174705,0.0635219242509,0.0859634269762,0.0,-0.34443431687,0.813958277475,3.80117079335,0.0112727729507,0.139634935346,0.0,463.4883794089583,464.28238563243417,464.23140480292477,464.6650958256735
2.0400000000000014,-0.0746959561197,0.57728994769,14.0286645848,0.0648296482337,0.0940054679438,0.0,-0.393275361267,0.848524757773,3.76044644572,0.0372260084369,0.119452532256,0.0,407.65774536262825,405.8682780113661,404.2482316656556,406.5804264262379
2.1000000000000014,-0.100256548341,0.629525395117,14.2571262533,0.0671668364785,0.100647521789,0.0,-0.459423360969,0.892853505213,3.85450848416,0.0422003561229,0.0807143108862,0.0,452.6751255306354,449.5567785560669,449.22333279627566,449.6272695960447
2.1600000000000015,-0.129576411702,0.684243467209,14.4879140476,0.0693969824571,0.105795379267,0.0,-0.51833451054,0.931277030139,3.83837971688,0.024497873192,0.0943978089635,0.0,414.9887700290477,416.1947848208158,415.9249293423349,414.37223121914644
